Recommended_Age_Start(months),Recommended_Age_End(months),Food(per 100g),Calcium(mg),Protein(g),Carbohydrate(g),Fat(g),Calorie(kcal),Price_per_product(IDR),weight_product(g),Notes
12,60,Pure Bit,16,1.6,9.6,0.2,43,15000,250,Bit yang dihaluskan. Sumber folat dan serat.
12,60,Sup Oyong,19,0.8,4.1,0.2,21,8000,250,Oyong yang dihaluskan dalam sup. Sumber serat dan rendah kalori.
12,60,Pure Pepaya,24,0.5,9.8,0.1,43,8000,250,Pepaya matang yang dihaluskan. Sumber vitamin C dan A.
12,60,Tim Tahu,120,8,1.9,4.8,76,12000,250,Tahu yang dihaluskan. Sumber protein dan kalsium.
12,60,Pure Tempe,129,18.3,9.8,4,149,7000,250,Tempe yang dihaluskan. Sumber protein dan serat.
12,60,Bubur Beras Merah Sayur,52,3.8,28,1.2,138,12000,250,Bubur beras merah dengan sayuran. Sumber serat dan vitamin.
12,60,Pure Labu Siam,19,0.6,4.1,0.1,19,8000,250,Labu siam yang dihaluskan. Sumber vitamin A dan C.
12,60,Tim Ikan Salmon,9,20,0,13,198,45000,500,Ikan salmon yang dihaluskan. Tinggi omega-3 dan protein.
12,60,Sup Cream Jagung,25,2.8,12,2.5,82,15000,250,Jagung dan krim yang dihaluskan menjadi sup. Sumber energi dan protein.
12,60,Pure Kacang Polong,25,5.4,14.5,0.4,84,12000,250,Kacang polong yang dihaluskan. Sumber protein dan serat.
12,60,Tim Ayam Cincang,12,18.2,0,10.2,165,25000,500,Ayam yang dicincang dan dihaluskan. Sumber protein tinggi.
12,60,Pure Pare,19,1.1,4.3,0.3,24,8000,250,Pare yang dihaluskan. Dikenal untuk sifat anti-diabetesnya.
12,60,Bubur Beras Hitam,41,3.5,26,0.9,130,15000,250,Bubur beras hitam. Sumber antioksidan dan serat.
12,60,Pure Terong,9,1.1,5.7,0.2,29,8000,250,Terong yang dihaluskan. Sumber serat dan rendah kalori.
12,60,Tim Ikan Dori,15,17,0,1.3,80,35000,500,Ikan dori yang dihaluskan. Sumber protein dan rendah lemak.
12,60,Pure Bayam Merah,99,2.9,3.4,0.4,23,10000,250,Bayam merah yang dihaluskan. Kaya zat besi dan vitamin K.
12,60,Sup Tahu Telur,85,9.5,2.3,8.1,120,12000,250,Tahu dan telur dalam sup. Sumber protein dan lemak sehat.
12,60,Pure Kacang Merah,83,9,22,0.5,130,10000,250,Kacang merah yang dihaluskan. Sumber protein dan serat.
12,60,Bubur Sagu,43,0.7,85.6,0.2,347,12000,250,Sagu yang dimasak menjadi bubur. Sumber karbohidrat tinggi.
12,60,Tim Ikan Gabus,20,25.2,0,1.7,116,40000,500,Ikan gabus yang dihaluskan. Tinggi protein dan omega-3.
12,60,Bubur Singkong,49,1.2,38.1,0.3,160,10000,250,Singkong yang dimasak menjadi bubur. Sumber energi tinggi.
12,60,Pure Daun Katuk,204,4.8,11,1,59,10000,250,Daun katuk yang dihaluskan. Sumber vitamin C dan A.
12,60,Bubur Jagung Manis,2,3.3,19,1,98,12000,250,Jagung manis yang dimasak menjadi bubur. Sumber serat dan karbohidrat.
12,60,Pure Labu Parang,25,1,6.8,0.1,28,10000,250,Labu parang yang dihaluskan. Sumber beta-karoten.
12,60,Tim Belut,20,14,0,1.5,69,45000,500,Belut yang dihaluskan. Sumber protein dan omega-3.
12,60,Bubur Ikan Salmon,12,20,0,13,198,45000,500,Ikan salmon yang dimasak menjadi bubur. Tinggi omega-3.
12,60,Pure Daun Mengkudu,395,3.5,8.2,0.4,51,12000,250,Daun mengkudu yang dihaluskan. Sumber antioksidan.
12,60,Tim Telur Puyuh,45,13.1,0.4,11.1,158,20000,500,Telur puyuh yang dihaluskan. Sumber protein dan vitamin B12.
12,60,Bubur Ubi Ungu,28,1.8,27.9,0.1,119,12000,250,Ubi ungu yang dimasak menjadi bubur. Sumber antioksidan.
12,60,Pure Daun Kelor,440,6.7,8.3,1.7,75,10000,250,Daun kelor yang dihaluskan. Sumber vitamin C dan A.
12,60,Tim Kerang,59,16,3.6,2.1,99,35000,500,Kerang yang dihaluskan. Sumber zinc dan protein.
12,60,Pure Buah Naga Merah,10,1.1,11.5,0.4,60,15000,250,Buah naga merah yang dihaluskan. Sumber vitamin C dan serat.
12,60,Bubur Gandum,34,13.7,71.1,2.5,364,15000,250,Gandum yang dimasak menjadi bubur. Sumber energi dan serat.
12,60,Pure Daun Singkong,165,6.8,13,0.7,87,8000,250,Daun singkong yang dihaluskan. Sumber vitamin A dan C.
12,60,Tim Cumi-cumi,10,16.1,3.1,0.7,84,35000,500,Cumi-cumi yang dihaluskan. Sumber protein dan omega-3.
12,60,Pure Daun Papaya,126,8,11.9,2,79,8000,250,Daun papaya yang dihaluskan. Sumber enzim papain yang baik untuk pencernaan.
6,8,Bubur Beras Merah Kacang Hijau,55,4,27,1.2,130,15000,250,Bubur beras merah dicampur kacang hijau. Dimasak sampai tekstur sangat halus. Sumber protein dan serat.
6,8,Pure Mangga,18,0.8,17,0.2,70,12000,250,Mangga matang yang dilumatkan. Kaya vitamin A dan C. Pastikan teksturnya halus untuk menghindari tersedak.
9,12,Bubur Pisang Keju,60,3.5,22,4.5,150,15000,250,Bubur pisang dengan tambahan keju parut. Sumber kalsium dan potasium.
9,12,Tumis Bayam dan Tahu,80,5,5,3,80,12000,250,Bayam dan tahu yang ditumis dan dihaluskan. Sumber zat besi dan protein.
12,60,Bubur Kacang Merah,90,8,29,0.5,160,12000,250,Kacang merah yang direbus dan dihaluskan dengan beras. Kaya serat dan protein.
12,60,Tim Tempe Kedelai,110,18,10,6,160,15000,250,Tempe yang dihaluskan dan dikukus. Tinggi protein dan serat.
12,60,Pure Buah Bit dan Apel,30,1.5,12.5,0.3,60,15000,250,Buah bit dan apel yang dikukus dan dihaluskan. Sumber vitamin C dan folat.
12,60,Bubur Jagung Manis dan Ayam,45,6.5,20,2,150,18000,250,Jagung manis dan daging ayam yang direbus dan dihaluskan. Sumber protein dan karbohidrat.
